15 1902 5665
2 205 0.215186 0.153794
1 206 -0.0409243 0.150941
2 206 -0.0735239 0.159092
1 207 0.181161 0.272186
2 207 0.14306 0.278503
1 208 0.0391485 -0.171427
2 208 -0.00424974 -0.162868
1 209 -0.189456 -0.109072
2 209 -0.220996 -0.0956235
1 210 -0.0916575 -0.105405
2 210 -0.129554 -0.0944008
1 211 -0.0708752 -0.0968461
2 211 -0.108772 -0.0858424
1 212 -0.212684 -0.0931782
2 212 -0.242634 -0.0803406
1 202 -0.0928799 -0.0821745
1 213 -0.101437 -0.077284
2 213 -0.137704 -0.0650576
1 214 0.311763 0.0547605
2 214 0.269445 0.0623018
1 215 -0.042758 0.112224
2 215 -0.0765801 0.121394
1 216 -0.0439805 0.131786
2 216 -0.0775989 0.139734
1 217 -0.042758 0.147681
2 217 -0.0757651 0.155017
1 218 -0.0366456 0.148903
2 218 -0.0696527 0.156239
1 219 -0.0342006 0.152571
2 219 -0.0672077 0.159907
1 220 -0.0329781 0.157462
2 220 -0.065374 0.164186
1 221 0.242081 0.177024
2 221 0.201495 0.185191
1 222 -0.0244207 0.18925
2 222 -0.0572241 0.19679
1 223 0.235969 0.199031
2 223 0.195627 0.206367
1 224 -0.0134184 0.221039
2 224 -0.046018 0.227356
1 225 0.182179 0.267499
2 225 0.144282 0.274101
1 209 -0.188723 -0.108828
1 226 0.290981 0.0188151
2 226 0.249025 0.0249772
1 227 0.296849 0.0334867
2 227 0.254306 0.0408225
1 228 -0.0522934 0.105378
2 228 -0.086034 0.114181
1 216 -0.0434915 0.131786
1 229 -0.0420245 0.147925
2 229 -0.0757651 0.155261
1 219 -0.0346896 0.152327
1 220 -0.0332227 0.156728
1 230 0.244037 0.1714
2 230 0.203255 0.179909
1 221 0.24257 0.177268
1 209 -0.18931 -0.108828
1 231 -0.101291 -0.0771372
2 231 -0.137378 -0.0648131
1 232 -0.0467188 0.109486
2 232 -0.0806551 0.117115
1 233 -0.0537604 0.114767
2 233 -0.086034 0.122984
1 234 -0.0414377 0.148219
2 234 -0.0748849 0.155261
1 235 -0.0343962 0.155261
2 235 -0.0678434 0.162303
1 236 -0.0238339 0.190473
2 236 -0.0566944 0.196342
1 237 0.00433218 0.204558
2 237 -0.0291151 0.209839
1 238 0.00961328 0.234488
2 238 -0.0244207 0.240356
1 209 -0.188957 -0.108828
1 239 0.29057 0.0179348
2 239 0.248321 0.024273
1 240 -0.0579853 0.0939925
2 240 -0.0907283 0.102443
1 241 -0.047423 0.108781
2 241 -0.0812223 0.117232
1 242 -0.0431981 0.113007
2 242 -0.0766453 0.12181
1 233 -0.0537603 0.11512
1 243 -0.0326358 0.140472
2 243 -0.066083 0.148219
1 244 0.180722 0.269348
2 244 0.142698 0.275686
1 245 0.17016 0.27146
2 245 0.132136 0.277798
1 209 -0.188957 -0.108828
1 246 -0.0520703 0.132021
2 246 -0.0850246 0.139627
1 247 -0.0343257 0.139627
2 247 -0.0685475 0.14681
1 248 -0.0343257 0.177656
2 248 -0.0664351 0.184839
1 249 0.15833 0.299348
2 249 0.120813 0.304419
1 250 -0.101248 -0.0849965
2 250 -0.137752 -0.0728272
1 251 -0.101248 -0.0758695
2 251 -0.137752 -0.0637003
1 252 0.300287 0.00627271
2 252 0.2577 0.0123573
1 253 -0.0434515 0.13405
2 253 -0.0774198 0.142162
1 254 -0.0373676 0.155346
2 254 -0.069815 0.162444
1 255 0.104387 -0.137324
2 255 0.0605828 -0.130023
1 256 -0.162087 -0.11907
2 256 -0.195548 -0.106293
1 257 -0.103682 -0.0862134
2 257 -0.140185 -0.075261
1 258 0.173743 -0.0533565
2 258 0.129939 -0.0460549
